,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,fuck this game,1,0,1,0,0,0
1,I suck so bad loool,1,0,0,0,0,0
2,this suck,1,0,0,0,0,0
3,Wtf thats stupid😂😂,1,0,0,0,0,0
4,so its not the fucking card,1,0,0,0,0,0
5,here I just an administrator up my ass,1,0,0,0,0,0
6,They should just keep it ES then put KV in others and fuck off mirimar everyone backs out that shit map 😂,1,0,1,0,0,0
7,How to mute this shit,1,0,0,0,0,0
8,when are the ygonna rework the zones? so fucking stupid,1,0,1,0,1,0
9,I suck,1,0,0,0,0,0
10,fucking shit,1,0,1,0,0,0
11,i got banned what the fuck are you devs doing?!,1,0,1,0,1,0
12,The doubling of xp to purchase loot boxes needs to go the fuck away.  It is ridiculous.  I bought 3 crates and got 3 of the same fucking shotty.  Im tired of this rng bullshit.  Why should I sink thousands of bp into a crate if im just gonna pull dupes all day long.   Its fucking stupid.  And so is the proce on the cash weapin skins.  15 dollars for a skin when the game costs 30?   Its just greed,1,0,1,0,0,0
13,"""hmm I have never played this game, should I play squad or solo?""  ""fuck it lets play squad so i can fuck up my squadmates"" retard starter pack",1,0,0,0,0,0
14,fix the fucking sound,1,0,1,1,0,0
15,fucking shitter,1,0,1,0,1,0
16,too dumb to shit,1,0,1,0,0,0
17,fucking nutz,1,0,1,0,1,0
18,without stupid shit,1,0,1,0,0,0
19,They put weird stupid shit in the game like weather who needs that? xD,1,0,1,0,1,0
20,"""Shit's on fire yo""",1,0,0,0,1,0
21,how the fuck is there only 7 people in queue? i wanna plöay ffs,1,0,1,0,0,0
22,fuck,1,0,0,0,0,0
23,OH SHIT DESYNC YOUR DEAD,1,0,0,0,0,0
24,"how the fuck, is this game still alive",1,0,1,0,1,0
25,stupid racist coward,1,0,0,0,1,0
26,may I introduce you to the fucking vector?,1,0,1,0,1,0
27,HOLY FUCK,1,0,0,0,0,0
28,its still not fucking working,1,0,1,0,0,0
29,is it me or has the game turned into a grenade fuck fest?,1,0,1,0,0,0
30,Who put me on the RNG shit list?,1,0,0,0,0,0
31,no i suck,1,0,0,0,0,0
32,why did pubg add this creepy shit?,1,0,0,0,0,0
33,I got a fucking question,1,0,0,0,0,0
34,hell yoah,0,0,0,0,0,0
35,why the fuck are the servers still up😄,1,0,0,0,1,0
36,Who else hate their life?,1,0,0,0,0,0
37,Like Hell Do I Care.,1,0,0,0,0,0
38,sakura is stupid crap,1,0,0,0,1,0
39,> cod is crap which one?,1,0,0,0,0,0
40,But who the ✨hell ✨are you ?,1,0,0,0,1,0
41,>  u only know music Stupid,1,0,0,0,1,0
42,Its my stupid earphones,1,0,0,0,0,0
43,> hundustan looks stupid 😝 🤣,1,0,0,0,1,0
44,emojis here suck tbh,1,0,0,0,0,0
45,@Clyde#0001  stupid claim down,1,0,0,0,0,0
46,u really idiot,1,0,0,0,1,0
47,>  stop bypassing the chat you idiot,1,0,0,0,0,0
48,stop bypassing the chat you idiot,1,0,0,0,0,0
49,> come suck the stick   r u futa?,1,0,1,0,0,0
50,oh crap ruby u awake ??,1,0,0,0,0,0
51,HELL NO,0,0,0,0,0,0
52,i hate stupid people only,0,0,0,0,0,0
53,shady as hell,1,0,0,0,0,0
54,hell yeaaahh,0,0,0,0,0,0
55,because u are stupid,1,0,0,0,1,0
56,for suck,1,0,1,0,0,0
57,Daniel= dumb and stupid,1,0,0,0,1,0
58,Hell no ew,1,0,0,0,0,0
59,Get the hell out,1,0,0,0,0,0
