,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
134,DFO always had some swag ass shit going for it. I wish I got the chance to get into it more.,0,0,0,0,0,0
280,its not gay,0,0,0,0,0,0
302,how do i get these fucking things off my recommended,1,0,0,0,0,0
339,> fuck seraphineHorny as fuck,1,0,1,0,1,0
345,Quite the shit,0,0,0,0,0,0
393,YEAH U WERE RIGHT BITCH JUST THE OTHER JUNGLER,1,0,0,0,0,0
394,Lol when adc became weak as shit I was like wtf happened did I just become ass turns out it wasn’t me,1,0,0,0,0,0
433,my team was so fucking usless,1,0,0,0,0,0
438,THIS GAME MIGHT AS WELL RESET MY FUCKING LP TO 0,1,0,0,0,0,0
439,FUCKING HELL,1,0,0,0,0,0
456,This is gonna be stupid though.,0,0,0,0,0,0
458,Like absolutely stupid.,0,0,0,0,0,0
466,This with Liandries is gonna be stupid,0,0,0,0,0,0
499,70 mana for that shit,1,0,0,0,0,0
567,"> WHAT THE FUCKING FUCK IS THIS FUCKING RECALL ANIMATION  recall animation may be shit, but holy fuck the effects and animation are good",1,0,0,0,0,0
572,WHAT THE FUCKING FUCK IS THIS FUCKING RECALL ANIMATION,1,0,0,0,0,0
608,nerf? remove the fucking character,1,0,0,0,0,0
628,bec he was doing some shit that made it look like he wasn't but then again fucking zhonyas rush,0,0,0,0,0,0
788,ravenous on eve is troll as fuck lol,0,0,0,0,0,0
840,Gay,1,0,0,0,0,1
926,Why does sh annie looks so FUCKING UGLY IG,1,0,0,0,1,0
1099,Why in the FUCK do you have that many tokens,0,0,0,0,0,0
1134,Fuck up a turret dive as graves and went afk,1,0,0,0,0,0
1140,this feels so shit,1,0,0,0,0,0
1286,Why are all junglers either hard as fuck or boring ass champs,1,0,0,0,1,0
1353,why do people troll in this fucking game bro,0,0,0,0,0,0
1379,LETS FUCKING GOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,0,0,0,0,0
1400,bitch what,1,0,0,0,1,0
1509,which is dumb as fuck lmao,1,0,0,0,0,0
1511,the fuck you talking about brother?,1,0,0,0,0,0
1513,how can that even be fucking compared?,1,0,0,0,0,0
1532,same shit btw,0,0,0,0,0,0
1542,fuck it we go crit janna,0,0,0,0,0,0
1598,>  it's here!!!! What the fuck is that?,0,0,0,0,0,0
1668,so fucking good,0,0,0,0,0,0
1699,its like all grassy and trees and shit,0,0,0,0,0,0
1730,holy shit dude,0,0,0,0,0,0
1731,what fucking rank cursed dirty ass hellhole am i in,1,0,1,0,0,0
1758,>  that riven face looks fucking ugly,1,0,0,0,1,0
1760,who here is fucking challenger lmao,0,0,0,0,0,0
1774,i fucking hate ww,0,0,0,0,0,0
1810,Too op?? The fuck,0,0,0,0,0,0
1837,"Skarner: ""I miss my kind"" Fucking Seraphine: ""Lmfao listen to their screams of agony""",0,0,0,0,0,0
1844,fuck these team mates,1,0,0,0,0,0
1846,5 games in a row FUCKING SSBM SHIT,1,0,1,0,0,0
1863,so fucking dumb,1,0,0,0,0,0
1872,im on a fucking roll,0,0,0,0,0,0
1874,oh fuck i got one of those omnistone bards in my ranked game,1,0,0,0,0,0
1976,"Fuck, I just died by the twitch.",1,0,0,0,0,0
1979,"> Fuck, I just died by the twitch. look at death recap",1,0,0,0,0,0
2014,"8k dmg veigar calling others a ""useless piece of shit""",1,0,0,0,1,0
2017,omg these fucking builds,0,0,0,0,0,0
2018,im so fucking tilted this jhin is the most stupidest fuck on them,1,0,1,0,1,0
2038,fucking KEK,0,0,0,0,0,0
2043,man i hate darius so much hes so stupid,0,0,0,0,0,0
2072,I fucking love those videos,0,0,0,0,0,0
2167,only bad matchup is dumb shit like yone and vlad,0,0,0,0,0,0
2251,may I ask why the fuck shen is a thing?,1,0,0,0,0,0
2373,"Obligatory ""fuck Udyr""",1,0,0,0,0,0
2407,who the fuck uses D for flashbanning whoever says me,1,0,0,0,0,0
2439,now that I think about it the fuck do u play?,1,0,1,0,0,0
2480,holy shit,0,0,0,0,0,0
2527,Broken as fuck,0,0,0,0,0,0
2722,what the hell do i do now,0,0,0,0,0,0
2743,HOLY SHIT WHAT THE HELL BCLURTOIEAUEOSTDPY,0,0,0,0,0,0
2757,> why the fuck i get the code of conduct shit every time i open league clientPromise you will be a good player?,1,0,0,0,0,0
2759,"If yes,that shit might be bugged anyway",0,0,0,0,0,0
2817,time to get some free shit,0,0,0,0,0,0
2937,heres how this shit works,0,0,0,0,0,0
2958,fucking 200 years,0,0,0,0,0,0
2987,why do i get these fucking monkeys ALWAYS IN PROMO,1,0,1,0,1,0
3018,I got a fucking ward,0,0,0,0,0,0
3049,HAHA OH SHIT,0,0,0,0,0,0
5,fuck it im maining teemo,0,0,0,0,0,0
119,i swear to fucking god,1,0,0,0,0,0
184,Don't fuck it up,1,0,0,0,0,0
193,"what the fuck is that ""rework""",1,0,0,0,0,0
195,they fucking massacred it,0,0,0,0,0,0
272,S11 aatrox is immortal if you xant one shit him,0,0,0,0,0,0
342,His e is slow as fuck,0,0,0,0,0,0
343,"win the fight, die to a fucking mushroom walking away",1,0,0,0,0,0
345,UNHOLY HELL,0,0,0,0,0,0
420,HOW THE HELL IS THIS AN A,1,0,0,0,0,0
488,Like the fuck am i gonna do with that info.,1,0,0,0,0,0
515,neeko lux good shit,1,0,1,0,0,0
615,HOW LE FUCK DO I FIGHT AHRI,1,0,0,0,0,0
3763,u are so fucking pepega,1,0,1,0,1,0
3777,fuck u chris,1,0,1,0,1,0
3799,this fucking wukong is challenger no cap,0,0,0,0,0,0
3827,"FUCK IT, VLAD IT IS",0,0,0,0,0,0
3877,and tell you that kayle is ugly and stupid and is a loser,1,0,0,0,0,0
3912,gona suck when they nerf him to shit,0,0,0,0,0,0
3978,eat shit riot,1,0,0,0,0,0
4013,fuck,1,0,0,0,0,0
4077,Being memed for releasing an overpowered adc and being shit on by the whole community.Rito after a few months: “ I’ll fucking do it again.”,1,0,0,0,0,0
4087,then ezreal says shut the fuck up mutedthen they both die to the first gank of the game 10 seconds after it was warnedand then they say jungle diff,1,0,0,0,0,0
4135,Im not a fucking loser,1,0,0,0,0,0
4160,LIKE NANI THE FUCK,0,0,0,0,0,0
4173,Urf is fucking nuts,0,0,0,0,0,0
4217,teemo had no fucking chance,0,0,0,0,0,0
4248,shut up let me believe idiot,0,0,0,0,0,0
4258,Ugly as fuck man wtf.,1,0,0,0,1,0
4285,Fuck i dont have anything to flame u with on opgg,0,0,0,0,0,0
4418,and he seem to suck,0,0,0,0,0,0
4514,Holy fuck you actually did it you madman,0,0,0,0,0,0
4518,fuck this team,1,0,0,0,0,0
4520,fuck this mmr god why,1,0,0,0,0,0
4526,fucking hell ANTI PYKE TEAM,0,0,0,0,0,0
4536,Samira is sick as fuck omg,0,0,0,0,0,0
4595,>  aw fuck why in ranks This is why you ban Samira,0,0,0,0,0,0
4600,aw fuck why in ranks,0,0,0,0,0,0
4644,SKARNER IS SO FUN WHAT THE FUCK,0,0,0,0,0,0
4747,but fuck riven,1,0,0,0,0,0
4960,fuck man,1,0,0,0,0,0
4975,what the fuck,1,0,0,0,0,0
4991,shit,1,0,0,0,0,0
5112,they fucking with all of us,0,0,0,0,0,0
5168,>  psyops pyke is so fucking n ice,0,0,0,0,0,0
5293,also i don't watch those shit,0,0,0,0,0,0
5357,fuck control wards all my homies hate control wards,0,0,0,0,0,0
5414,like what the actual fuck is that,1,0,0,0,0,0
5415,What the fuck is that,1,0,0,0,0,0
5449,bruh what the fuck is this match making,1,0,0,0,0,0
5452,I fucking hate lux,1,0,0,0,0,0
5469,yes ionians are fun as fuck,0,0,0,0,0,0
5484,basically a huge fuck you to all assassins,1,0,0,0,0,0
5496,FUCKING WOWOW,1,0,0,0,0,0
5534,Your CS is shit.,1,0,1,0,1,0
5715,Teemo gets a fucking sniper,0,0,0,0,0,0
5801,today i learnt hecarim can fuck up a lane without even properly ganking,0,0,0,0,0,0
5985,i fucking hate heimerdinger with a passionthis is aram btw,0,0,0,0,0,0
6098,fast as fuck boii,0,0,0,0,0,0
6124,oh so jg duo means you roam and shit together?,0,0,0,0,0,0
6136,why the *fuck* do people in plat just s u c k,1,0,0,0,0,0
6157,get fucked rengar u little bitch,1,0,1,0,1,0
6175,nobody hit the fucking q,0,0,0,0,0,0
6184,what the fuck is this fucking match making,1,0,0,0,1,0
6199,where le fuck is psyops kayle,1,0,0,0,0,0
6208,The one fucking champ that shouldnt be fed and the damn moron of a fish feeds him,1,0,0,0,1,0
6211,that's old as fuck,0,0,0,0,0,0
6219,this fucking yi,1,0,0,0,0,0
6222,feed them and said what the fuck could i do,1,0,0,0,0,0
6305,fuck support yuumi,1,0,0,0,0,0
6360,this annoying little shit played yasuo jungle,1,0,0,0,1,0
6573,> who the FUCK plays asol i BAN aury sol,1,0,0,0,0,0
6614,yes fuck lux mains but watch this shit,1,0,1,0,1,0
6650,dont u dare put the yuumi passive in there fuck u,1,0,0,0,0,0
6701,im fucking doing it,0,0,0,0,0,0
6705,I wanna cry when I get them on my team useless sack of shit but when. Other team has them they just disappear and reappearing while somehow doing more damage with a blow dart then a fucking rek si,1,0,0,0,0,0
6804,this shit is like adc graves,1,0,0,0,0,0
6831,THE FUCK IS THIS??,1,0,0,0,1,0
6879,Yeah with what? A short ass hop that gets you nearly nowhere? An ult that is SO fucking long,1,0,0,0,0,0
7117,fuck lillia,1,0,1,0,1,0
7133,And wtf are u a winrate friend? Who gives a fuck,1,0,0,0,0,0
7280,wow after many shit skins,0,0,0,0,0,0
7355,Omg I swear garena is blind as fuck,1,0,0,0,0,0
7481,what the hell??,1,0,0,0,0,0
7646,oh shit guys,1,0,0,0,0,0
7796,wether you want to chance the akali being shit or not is something else.,0,0,0,0,0,0
7825,like i legit CC the fuck out of the lucian and they still can;t kill,1,0,0,0,0,0
7858,oh shit,1,0,0,0,0,0
7875,who shit on us,1,0,0,0,0,0
7932,absolute fucking bullshit,1,0,0,0,0,0
7953,He just fucking runs,1,0,0,0,0,0
8002,"my team flamed me THE WHOLE EARLYGAMEi'm talking all 4 of them, they were 2 duos and they would just not shut the fuck upthey just kept calling me every name they could think of, useless jg, shit ganks egthen when i go 8-2 and we start to winyou know what i did",0,0,0,0,0,0
8286,this game is annoying as fuck,1,0,0,0,0,0
8292,o m y fucking god AGAIN?,1,0,0,0,0,0
8325,why the fuck do i have bard and rakan bought on this acc,0,0,0,0,0,0
8357,stupid morgana players,1,0,0,0,0,0
8434,you still can do this type of shit,0,0,0,0,0,0
8504,"Another one of those,combo then they are fucking useless type champs",0,0,0,0,0,0
8507,unbelievable how shit some people in this game are.,1,0,0,0,1,0
8614,like holy shit make it stop,1,0,0,0,0,0
8641,thats shit,1,0,0,0,0,0
8681,Cuz of that stupid strat,1,0,0,0,0,0
8865,I just wish that he would have fucking come,0,0,0,0,0,0
8897,what a hard fucking game,0,0,0,0,0,0
8916,no fuck off,1,0,0,0,0,0
9011,gold is such a shit hole man,1,0,0,0,0,0
9017,if lucian cant poke shit with his Q he fucking dies to a full health ryze,1,0,0,0,0,0
9216,fuck shen,1,0,0,0,0,0
9230,fuck that champion and his entire bullshit kit,1,0,0,0,0,0
9254,played like shit,1,0,0,0,0,0
9264,he has 60 fucking dashes,1,0,0,0,0,0
9333,ho shit,1,0,0,0,0,0
9582,tell me that's not Chad as fuck,0,0,0,0,0,0
9600,fuck sett support,0,0,0,0,0,0
9636,i go azir a lot but my csing is shit,0,0,0,0,0,0
9656,shit fuc,0,0,0,0,0,0
9671,look at this fucking chad,0,0,0,0,0,0
9730,above plat yasuo has a shit winrate rn lol,0,0,0,0,0,0
9747,wiat then what the fuck,1,0,0,0,0,0
9763,is riot fucking trolling??? what the fuck,1,0,0,0,1,0
9773,like syndra is my main mage and my fucking god is she disgusting,0,0,0,0,0,0
9779,because he will get shit on by bruisers or juggernauts,0,0,0,0,0,0
9907,ahri overrated as fuck dont @ me,0,0,0,0,0,0
10098,Troll ass adc,0,0,0,0,0,0
10137,fuck that,1,0,0,0,0,0
10179,you guys wanna see something stupid?,0,0,0,0,0,0
10185,What the fuck. You can WQ and cancel the W animation,0,0,0,0,0,0
10204,Lillia is so fucking fast,0,0,0,0,0,0
10266,but how fucking depressing is this?,0,0,0,0,0,0
10295,"ahhh,rewards from that shit",0,0,0,0,0,0
10338,nexus blitz is ass,1,0,0,0,0,0
10348,man yuumi jng is fucking annoying,1,0,0,0,0,0
10504,what the fuck?,1,0,0,0,0,0
10555,oh fuck,0,0,0,0,0,0
10558,hold the fuck up,0,0,0,0,0,0
10588,nah skip that shit,0,0,0,0,0,0
10615,shit is so cringe and over done,0,0,0,0,0,0
10632,free as fuck,0,0,0,0,0,0
10641,how are you so shit,1,0,0,0,1,0
10732,yes idiot,1,0,0,0,1,0
10746,"it was the evelynn game, he even stole my fucking champ",1,0,0,0,0,0
10813,what you get for trying to zoom in on frost irelias ass,0,0,0,0,0,0
10899,"Yeah, still can't tell what the fuck singed is meant to do",1,0,0,0,0,0
10942,those hooks were fucking insane,0,0,0,0,0,0
10986,"Which is ... fucking hard , almost impossible",0,0,0,0,0,0
11012,because its fucking bronze,1,0,0,0,0,0
11060,"Bun that’s called surrendering, fuck that",0,0,0,0,0,0
11063,HOLY FUCKING,1,0,0,0,0,0
11093,literally fuck wukong,1,0,0,0,0,0
11242,anbyone else getting this shit ****,1,0,0,0,0,0
11257,> If they fucking give this guy the style mechanic I’ll lose my god damn mind,0,0,0,0,0,0
11277,This is why you go Jhin mid and carry it like a fucking man,0,0,0,0,0,0
11376,No fucking shit it is,1,0,0,0,0,0
11409,I'm safe for now so fuck you guys,1,0,0,0,0,0
11449,this shit scales way too much,0,0,0,0,0,0
11623,Time to get the fuck outta silver,0,0,0,0,0,0
11724,you suck rip,1,0,0,0,1,0
11863,Shit like orianna,0,0,0,0,0,0
11936,its the fucking video,0,0,0,0,0,0
