message,toxic,severe_toxic,obscene,threat,insult,identity_hate
"@keckzn have a time out, come back when you're done saying dumb shit",1,0,0,0,0,0
wat the hell is he doin LUL,1,0,0,0,0,0
the shit-hawks are flyin rand,1,0,1,0,0,0
stupid cheaters,1,0,0,0,1,0
Shit.,1,0,1,0,0,0
you asshole,1,0,1,0,1,0
i play for 24hrs fuck streaming it tho KEKW,1,0,1,0,0,0
Fuck that,1,0,1,0,1,0
No jersey mikes the fuck?,1,0,1,0,0,0
Its a shit situation!,1,0,0,0,0,0
They're all fucking dodgy bastards!,1,0,1,0,1,0
"she's listening through the door, shut the fuck up dad",1,0,0,0,0,0
well his nade was shit LUL,1,0,1,0,0,0
I'll never understand the 2Heads that come into streams and say 2Head shit like that.,1,0,0,0,0,0
hey I can't control spray worth shit but I do'nt say that - dumb idiots say that!,1,0,1,0,0,0
"i dont say that, and i cant shoot for shit KEKW",1,0,0,0,0,0
STOP DOING WHAT I THINK IS SHIT STREAMER,1,0,0,0,0,0
"How the fuck you getting so many frames, my fps is fucked on this game atm",1,0,1,0,0,0
"I saw his name in the kill feed, told him oh fuck DrasseLs in the game, he was like Who the fuck is DrasseL. And his head got scooped off",1,0,1,0,0,0
twitch is fucking,1,0,1,0,0,0
Murica fuck yeee,1,0,1,0,1,0
i like how you dont talk shit about your dick neighbour cause he prob gonna rewatch your stream,1,0,0,0,0,0
the fucking grass man,1,0,1,0,1,0
new ruins is ass too,1,0,1,0,0,0
Come the fuck on,1,0,1,0,0,0
youll get bit in the hamily for stupid shit like that....wrong yard with those words,1,0,1,0,1,0
holy shit,1,0,0,0,0,0
holy shit subs,1,0,0,0,0,0
shit winds are acomin'!,1,0,0,0,0,0
high key this guy is scaryin the fuck ouutta me,1,0,1,0,0,0
“Personally i’d rather fuck a moose”- Canadian Mountie,1,0,1,0,0,0
fucking illogical babies.,1,0,1,0,0,0
@guccixslaya cheaters suck hard tho,1,0,0,0,0,0
"WTF is wrong with people who play solos. HOLY FUCK, JUST fucking PEAK me!!!",1,0,1,0,1,0
how the fuck that last bullet didn't kill you,1,0,0,0,0,0
I love and hate you thirsty ass.,1,0,1,0,0,0
powerwash that ass,1,0,1,0,0,0
if u got hemoroids u cant wipe that shit like sandpaper,1,0,1,0,0,0
yeah some people eat ass,1,0,1,0,1,0
they dont have an ass just a hole,1,0,1,0,1,0
wreck his fucking ass grizz,1,0,1,0,1,0
hey fuck off @lob_bene,1,0,1,0,1,0
!redeem gay,1,0,1,0,1,0
ravaged asshole,1,0,1,0,1,0
no not bull shit,1,0,1,0,1,0
ive eaten tons of mushrooms and all it does it melow you out or you laugh at stupid shit,1,0,1,0,0,0
Sometimes @Grizz sticks a bottle in his ass.. LUL,1,0,1,0,0,0
@grizz you handsome as fuck #nnotroll,1,0,1,0,1,0
@xQUATTROxTECHx916x got that shit memorized,1,0,1,0,0,0
griZzBADASSOVERHERE bad ass over here,1,0,1,0,0,0
what in the actual fuck,1,0,1,0,0,0
@TameTubesteak LUL Must have been Idaho or some shit,1,0,1,0,0,0
fuck sakes man,1,0,1,0,1,0
wtf is this nice @Grizz shit,1,0,0,0,0,0
what the hell??,1,0,0,0,0,0
oh fuck,1,0,1,0,1,0
what the fuck,1,0,1,0,1,0
"@RoLex_100, you successfully redeemed Fucking Streamers for 7500 Honeycombs. elementsOkay",1,0,1,0,0,0
"@swkracelottv, Fucking Streamers costs 7500 Honeycombs, you only have 1150.",1,0,1,0,0,0
these guys emoting and shit jesus,1,0,1,0,1,0
shit looks stupid lol,1,0,1,0,1,0
i need to see clib clutch this shit,1,0,1,0,0,0
Clib is a fucking beast,1,0,1,0,0,0
what the fuck ibi keep the roasts off stream valleuC2,1,0,1,0,0,0
They said fuck ibi,1,0,1,0,1,0
WHAT THE FUCK KIND OF CARNAGE IS THIS KEKW,1,0,1,0,1,0
but how the fuck do you remember mannnnnnn,1,0,1,0,0,0
madar bitch don't kill us,1,0,0,0,0,0
oh shit,1,0,1,0,0,0
Taking a shit ehun ehun ehun ehun,1,0,0,0,0,0
dont fuck this up @Grizz,1,0,1,0,1,0
@warm_gazpacho WHAT IN THE FUCK,1,0,1,0,1,0
Welcome to the shit @milamie,1,0,1,0,0,0
Pita you trying to fuck?,1,0,1,0,1,0
ahh shit lagging,1,0,1,0,0,0
@VVink75 who is grizz? i'll tell you who's grizz. grizz is a fucking baws,1,0,1,0,0,0
oh fuck,1,0,1,0,1,0
fuck no,1,0,1,0,1,0
What in the fuck,1,0,1,0,1,0
"go to josh's guy, he'll fuck your hair up like he does josh",1,0,1,0,0,0
"i hate the camps, i always come out with shit loot",1,0,0,0,0,0
FUCKING BLUE BALLS,1,0,1,0,0,0
the hell was that,1,0,0,0,0,0
Shootin the shit smokin sum herb,1,0,0,0,0,0
a shit zoo,1,0,1,0,0,0
Stupid decisions mean stupid result,1,0,0,0,0,0
I’m hungry as fuck but stuck at work,1,0,1,0,0,0
in and out sucks COCK,1,0,1,0,0,0
Jesus fuck. This map,1,0,1,0,0,0
grizz gonna take a shit,1,0,1,0,0,0
ohh shit,1,0,1,0,0,0
grizz just starting shit over here,1,0,0,0,0,0
@churro_mania fuck yea it does,1,0,1,0,0,0
"hell yeah man, love that shit",1,0,1,0,0,0
fuck you thunder!,1,0,1,0,0,0
you can suck my dick,1,0,1,0,0,0
"hey grizz, those are the lyrics to fuck you thunder. dont suck anything",1,0,1,0,1,0
eggs are the nastiest shit in the world,1,0,1,0,0,0
fucking,1,0,1,0,1,0
this map is dog shit for squads. absolute dog shit,1,0,0,0,0,0
oh shit my boy is bigtime,1,0,0,0,0,0
Have you tried sleeping ass up?,1,0,0,0,0,0
"ass, grass, or pizaz",1,0,1,0,0,0
Ass to mouth,1,0,0,0,0,0
@SimmaDownNow1 dunno... GrandpaGamer is fucking old as shit... lol,1,0,1,0,0,0
ohh shit summit retired ?,1,0,0,0,0,0
And his big ass head,1,0,1,0,0,0
I fuck you bloody!,1,0,1,0,0,0
fuck you bloody!,1,0,1,0,0,0
some viking shit,1,0,1,0,0,0
"mini shots like fucking tig, those guys are fucking tanks!",1,0,1,0,0,0
holy fuck ur insane,1,0,1,0,0,0
fucking great stuff,1,0,1,0,0,0
Good shit,1,0,0,0,0,0
Labs are the fucking shit,1,0,1,0,1,0
fucking owning,1,0,1,0,1,0
Yeah fuck that kid bro,1,0,1,0,0,0
this is a game about killing people.... fuck em all,1,0,1,0,0,0
!REDEEM GAY,1,0,0,0,0,0
they fuck each other in the locker room?,1,0,1,0,0,0
!gay,1,0,0,0,1,0
"Oh fuck, we say fuck here? I've just been saying veryhaFrick",1,0,1,0,0,0
oh shit man... great stuff!,1,0,0,0,0,0
Let me slap his ass with my dick,1,0,1,0,0,0
