message,toxic,severe_toxic,obscene,threat,insult,identity_hate
the fuck is osu,1,0,1,0,1,0
PLAY SOME NIGHTCORE WEEB SHIT,1,0,0,0,0,0
FUCKING RACIST BAN,1,0,1,0,0,1
FUCK ME IN THE ASS YAMI,1,0,1,0,1,0
good shit man,1,0,0,0,0,0
@pikathewolf i swear im hallucinating or some shit cuz i swear ur name was fucking pekkinwoof,1,0,1,0,0,0
kamakaze that shit,1,0,1,0,0,0
she is that stupid,1,0,0,0,1,0
oasis is honestly a fucking vibe,1,0,1,0,0,0
because idiot,1,0,0,0,1,0
akali suck,1,0,1,0,0,0
fuck meta,1,0,1,0,0,0
fuck,1,0,1,0,0,0
"when you miss type yep cock cuz talon brain ""fuck""",1,0,1,0,0,0
suck my big black zed,1,0,1,0,0,0
That Akali is fucking embarrassing. Talking shit when they themself played like trash,1,0,1,0,0,0
@FindMyNane why are u hate watching? NB3 fuck ur mom?,1,0,1,0,1,0
love how nobody gives a fuck,1,0,0,0,0,0
my ass,1,0,1,0,0,0
on a dick,1,0,1,0,0,0
wtf bullshit ban?,1,0,1,0,0,0
"dude, its fucking hitler",1,0,1,0,0,0
NOT ELISE FKINGGG HELL ResidentSleeper,1,0,1,0,0,0
How the fuck is this shit funny?,1,0,1,0,1,0
"Fuck off chat, that guy deserves to be banned for risking this channels life",1,0,0,0,0,0
thats on you dude you fucking hesitated so ahrd,1,0,1,0,0,0
so fucking greedy holy,1,0,1,0,0,0
dude what the actual fuck,1,0,1,0,0,0
shit happens,1,0,0,0,0,0
no shit sherlock,1,0,1,0,0,0
@hudii shit had me dying he a fkin loser,1,0,1,0,0,0
because americans are stupid ppl,1,0,0,0,1,0
@buttery_butt1094 YEAH shit funny af,1,0,0,0,0,0
INVADE HIS NERCOMANCER ASS,1,0,1,0,1,0
oh shit,1,0,1,0,0,0
@santalama I’m 100% sure you’re fucking with me now,1,0,1,0,1,0
Why is every game in NA diamond a fucking booster or wintrader? like wtf,1,0,1,0,0,0
holy shit this kaisa is stupid,1,0,1,0,1,0
