,Tweet,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,i havent played pubg in over 2 years. time to get back into it bc overwatch just triggers me lately.,0.0042126476764678955,0.0003331005573272705,0.0011764466762542725,0.00033536553382873535,0.0009911060333251953,0.0004794001579284668
1,"@PUBGMOBILE Please remove the door sound when entering the tunnel, i'm not sure i'm playing pubg or resident evil",0.006693392992019653,0.00033912062644958496,0.001236945390701294,0.00036835670471191406,0.0011905431747436523,0.0005204379558563232
2,@PUBG_Support Camera angle is awful in TPP driving downhill,0.03301176428794861,0.0004981458187103271,0.0035494565963745117,0.0005523264408111572,0.003266632556915283,0.0009622573852539062
3,@NytroArtwork Wait until he hits puberty and starts rebelling against his parents by starting up a Twitch Stream account where he plays PUBG and curse up a storm,0.4200116693973541,0.0015462934970855713,0.040916234254837036,0.001259148120880127,0.08822110295295715,0.009499460458755493
4,me and my cousin (he plays pubg mobile tourneys) were voicing our experience with comp gaming and telling him how i’m shit but i might wanna try it again once I come back lul idk,0.5440669059753418,0.005391150712966919,0.4676898419857025,0.00182420015335083,0.06910890340805054,0.0036357343196868896
5,*⋆⸜ᴳᴼᴼᴰ ᴹᴼᴿᴺᴵᴺᴳ⸝⋆*,0.003998935222625732,0.0004120767116546631,0.0009780824184417725,0.0004942417144775391,0.0009714365005493164,0.0006226599216461182
6,@PUBGMOBILE pubg bring back the settings where we can change server huhuhu,0.03386738896369934,0.0005109310150146484,0.0056646764278411865,0.00044232606887817383,0.0034166574478149414,0.0008781254291534424
7,"Open Top up berbagai game
-PUBG
-FREE FIRE
-MOBILE LEGEND
-COD (CALL OF DUTY)",0.0016378462314605713,0.0003319978713989258,0.0007422864437103271,0.00040099024772644043,0.0007045269012451172,0.000450819730758667
8,@Aman96584415 @PUBG_Support @TencentGames Hey hit me up can help u with the retrieving of hacked  account,0.010644257068634033,0.0003803074359893799,0.0017519593238830566,0.00038933753967285156,0.001560986042022705,0.0005755126476287842
9,"I think some mornings I’m going to try out pubg mobile since it’s massive on Facebook right now. If I dial in my sensitivity and it actually goes through, I’m cracked.",0.01309165358543396,0.00039461255073547363,0.0020388662815093994,0.0004120171070098877,0.0017715394496917725,0.0006429553031921387
10,@NVIDIAGeForce ##GiftAGamer @GamingExplorers because of the dedication he shows to gaming and playing PUBG,0.0024107396602630615,0.00030678510665893555,0.0007891654968261719,0.00034046173095703125,0.00080108642578125,0.00045168399810791016
11,@GEMINI_Ios @PlayCODMobile The game is seriously messed up especially for low end users even pubg mobile is run better than cod mobile rn even thou I play codm for a year now it's no joke @GEMINI_Ios  pubg mobile run so smooth on a low end device not even cod mobile can't run the game good,0.024018824100494385,0.0004139840602874756,0.0027430951595306396,0.0004210174083709717,0.0029345452785491943,0.0009003281593322754
12,"@PlayCODMobile  Why dose COD mobile BR world chat not work
Like in pubg or the gerana version
Could we please get that fixed coz I would like to hear my opponents cry when I crush em in BR
Or tell them where to lad for a good gun fight",0.0942278802394867,0.0009597837924957275,0.008699774742126465,0.0018468499183654785,0.0083235502243042,0.001972705125808716
13,"I'M A PUBG MOBILE LITE INFULANSER AND YOUTUBER . I'M DAILY UPLODED VIDEOS FOR PUBG LITE NEW UPDATES , GAMEPLAY VIDEOS AND LIVE STREAMING .PLEAS SEAD PUBG MOBILE LITE  MERCHANDISES  [ GIFT BOX ] AND OFFICIALS GIFT'S 
PLEASE UNDERSTAND @PUBGMobileLite
@PUBGMOBILE_IN",0.010824143886566162,0.00038248300552368164,0.001986294984817505,0.00033590197563171387,0.0017091631889343262,0.0006331801414489746
14,@Objcam Pubg is on sale rn,0.0038188695907592773,0.00032889842987060547,0.001062154769897461,0.00038048624992370605,0.0008979737758636475,0.00045740604400634766
15,@TheReal_TonyBoi If only you played PUBG mobile. The PC PUBG is lit too.. but I only play it on mobile.,0.0027092397212982178,0.0003021061420440674,0.0008246302604675293,0.0003470182418823242,0.0007993578910827637,0.00043952465057373047
16,PUBG: Patrol Unready Behaviorism Galvanic,0.005364269018173218,0.0003406107425689697,0.001010209321975708,0.0003612041473388672,0.0010771751403808594,0.0005522370338439941
17,@shroud Is he playin pubg,0.05475062131881714,0.0006374716758728027,0.0074485838413238525,0.000590205192565918,0.005457162857055664,0.0012930631637573242
18,I WILL PAY ANTONE TO PLAY PUBG OR C.O.D WITH ME 💔,0.20879843831062317,0.0011215507984161377,0.03774237632751465,0.0009963512420654297,0.022064626216888428,0.0027731359004974365
19,PUBG but JK Rowling gets a portion of every sale,0.017857134342193604,0.0003590583801269531,0.002389848232269287,0.0003503859043121338,0.0022873282432556152,0.0008000731468200684
20,@NVIDIAGeForce @Billyh1235 that 720 no scope on PUBG tho 😂😂😂 #GiftAGamer,0.06577786803245544,0.000574648380279541,0.008768290281295776,0.0004917383193969727,0.006826162338256836,0.0014327466487884521
21,@Aman96584415 @PUBG_Support @TencentGames I will help you get back your account instantly just DM to retrieve fast.,0.0018919706344604492,0.00032722949981689453,0.0007508397102355957,0.0004139840602874756,0.0007239282131195068,0.0004324615001678467
22,@SeokjinsQueenV Lol winner winner chicken dinner ~ wait do you play PUBG?,0.04942816495895386,0.0005003511905670166,0.0060485899448394775,0.00043258070945739746,0.00602605938911438,0.001507103443145752
23,@PUBG_Support So are you guys gonna let us know where the service is going to be located,0.0016519427299499512,0.0003377199172973633,0.0007729530334472656,0.0004086792469024658,0.0006919503211975098,0.00045564770698547363
24,@TheGroovySquid @AOC Run back some pubg together;),0.22595176100730896,0.0013579130172729492,0.057874470949172974,0.00077858567237854,0.028104782104492188,0.0031467974185943604
25,PUBG: Plasma Unconscious Buttress Gasoline,0.22872230410575867,0.0016686320304870605,0.028951168060302734,0.002026855945587158,0.0182420015335083,0.0027145445346832275
26,@digitalfoundry what's the frame rates on pubg on next gen lads?,0.00218316912651062,0.00030750036239624023,0.0007848441600799561,0.0003609955310821533,0.0007798671722412109,0.0004590451717376709
