,message,toxic,severe_toxic,obscene,threat,insult,identity_hate
996,don't you dare talk shit about Shocknomadic you RAT cunt mogRage,1,0,1,0,0,0
1056,"""Sou suck dick and balls""",1,0,1,0,0,0
1295,"@keckzn have a time out, come back when you're done saying dumb shit",1,0,0,0,0,0
1550,Fucking troll,1,0,1,0,0,0
1635,wat the hell is he doin LUL,1,0,0,0,0,0
1646,SUCK,1,0,1,0,0,0
1756,what a dick,1,0,0,0,0,0
2090,the shit-hawks are flyin rand,1,0,1,0,0,0
2100,stupid cheaters,1,0,0,0,1,0
2308,Shit.,1,0,1,0,0,0
2455,you asshole,1,0,1,0,1,0
2549,i play for 24hrs fuck streaming it tho KEKW,1,0,1,0,0,0
2620,Fuck that,1,0,1,0,1,0
2631,No jersey mikes the fuck?,1,0,1,0,0,0
2824,Its a shit situation!,1,0,0,0,0,0
2962,They're all fucking dodgy bastards!,1,0,1,0,1,0
3304,"she's listening through the door, shut the fuck up dad",1,0,0,0,0,0
3455,well his nade was shit LUL,1,0,1,0,0,0
3606,I'll never understand the 2Heads that come into streams and say 2Head shit like that.,1,0,0,0,0,0
3622,hey I can't control spray worth shit but I do'nt say that - dumb idiots say that!,1,0,0,0,0,0
3624,"i dont say that, and i cant shoot for shit KEKW",1,0,0,0,0,0
3745,STOP DOING WHAT I THINK IS SHIT STREAMER,1,0,0,0,0,0
3772,"How the fuck you getting so many frames, my fps is fucked on this game atm",1,0,1,0,0,0
3781,"quirky and unforgiving for some people means ""shit""",1,0,0,0,0,0
3911,"I saw his name in the kill feed, told him oh fuck DrasseLs in the game, he was like Who the fuck is DrasseL. And his head got scooped off",1,0,1,0,0,0
4406,twitch is fucking,1,0,1,0,1,0
4436,Murica fuck yeee,1,0,1,0,1,0
4813,i like how you dont talk shit about your dick neighbour cause he prob gonna rewatch your stream,1,0,0,0,0,0
4873,the fucking grass man,1,0,1,0,1,0
4884,new ruins is ass too,1,0,1,0,0,0
7160,Come the fuck on,1,0,1,0,0,0
7224,youll get bit in the hamily for stupid shit like that....wrong yard with those words,1,0,1,0,0,0
7642,holy shit,1,0,0,0,0,0
7654,holy shit subs,1,0,0,0,0,0
8108,shit winds are acomin'!,1,0,1,0,0,0
