,message,toxic,severe_toxic,obscene,threat,insult,identity_hate
357,the fuck is osu,1,0,1,0,1,0
359,PLAY SOME NIGHTCORE WEEB SHIT,1,0,1,0,0,0
367,FUCKING RACIST BAN,1,0,1,0,0,0
402,FUCK ME IN THE ASS YAMI,1,0,1,0,1,0
521,good shit man,1,0,0,0,0,0
536,@pikathewolf i swear im hallucinating or some shit cuz i swear ur name was fucking pekkinwoof,1,0,1,0,0,0
639,kamakaze that shit,1,0,1,0,0,0
801,she is that stupid,1,0,0,0,1,0
816,oasis is honestly a fucking vibe,1,0,1,0,0,0
1030,because idiot,1,0,0,0,1,0
1250,akali suck,1,0,1,0,0,0
1264,fuck meta,1,0,1,0,0,0
1694,fuck,1,0,1,0,1,0
1697,"when you miss type yep cock cuz talon brain ""fuck""",1,0,0,0,0,0
2611,suck my big black zed,1,0,0,0,0,0
2884,That Akali is fucking embarrassing. Talking shit when they themself played like trash,1,0,1,0,0,0
2965,@FindMyNane why are u hate watching? NB3 fuck ur mom?,1,0,1,0,0,0
3033,love how nobody gives a fuck,1,0,1,0,0,0
3073,my ass,1,0,1,0,0,0
3234,on a dick,1,0,0,0,0,0
3316,wtf bullshit ban?,1,0,0,0,0,0
3331,"dude, its fucking hitler",1,0,1,0,0,0
3354,NOT ELISE FKINGGG HELL ResidentSleeper,1,0,0,0,0,0
3490,How the fuck is this shit funny?,1,0,1,0,1,0
3514,"Fuck off chat, that guy deserves to be banned for risking this channels life",1,0,0,0,0,0
3617,thats on you dude you fucking hesitated so ahrd,1,0,1,0,0,0
3623,so fucking greedy holy,1,0,1,0,0,0
4029,dude what the actual fuck,1,0,1,0,0,0
4085,shit happens,1,0,0,0,0,0
4146,no shit sherlock,1,0,1,0,0,0
4396,@hudii shit had me dying he a fkin loser,1,0,0,0,0,0
4441,because americans are stupid ppl,1,0,0,0,0,0
4791,@buttery_butt1094 YEAH shit funny af,1,0,0,0,0,0
4846,INVADE HIS NERCOMANCER ASS,1,0,1,0,0,0
4871,oh shit,1,0,1,0,0,0
4998,@santalama I’m 100% sure you’re fucking with me now,1,0,1,0,0,0
5147,Why is every game in NA diamond a fucking booster or wintrader? like wtf,1,0,0,0,0,0
5188,holy shit this kaisa is stupid,1,0,1,0,1,0
5587,BUSSERS BOUNCE DAT ASS,1,0,1,0,0,0
5716,MY ASS,1,0,1,0,0,0
5721,holy shit,1,0,0,0,0,0
5888,yo fuck those little golems,1,0,1,0,1,0
5958,fuck monkaW,1,0,1,0,1,0
6088,Holy fuck,1,0,1,0,0,0
6091,holy shit,1,0,0,0,0,0
6113,that is to fucking insane,1,0,1,0,0,0
6184,holy shit,1,0,0,0,0,0
6226,HOLY SHIT karthus busted KEKW,1,0,0,0,0,0
6229,FUCK YES,1,0,1,0,0,0
6235,HOLY FUCK monkaS,1,0,1,0,0,0
6261,holy shit,1,0,0,0,0,0
6324,jg so fucking useless KEKW,1,0,1,0,0,0
6332,the ass harvest,1,0,1,0,0,0
6646,FUCK U @sneakylol peepoPog,1,0,1,0,0,0
6731,when you're VIP you get to suck Sneaky's dick btw,1,0,1,0,0,0
6871,gonna shit brb,1,0,1,0,0,0
6894,there is no more big fucking sword tho ladleCry,1,0,1,0,0,0
7165,or until u get shit on LUL,1,0,1,0,0,0
7247,CORKI and EZREAL do FUCKING INSANE damage,1,0,0,0,0,0
7406,Double tear was fun too Sadge fuck riot,1,0,1,0,0,0
7423,why the fuck is the queue 12 minutes??!,1,0,1,0,0,0
7447,uniclr is the shit,1,0,1,0,0,0
7480,what is this jrock shit,1,0,1,0,0,0
7513,rageblade with crit cloak stack feels so fucking good @sneakylol,1,0,1,0,0,0
7563,Wiping shit WutFace,1,0,1,0,0,0
7909,is xayah still shit @sneakylol,1,0,1,0,0,0
7930,fuck u i didnt achieve my goal so i will fuck ur goal KEKW,1,0,1,0,0,0
8275,Kraken seems op as fuck on vayne,1,0,1,0,0,0
8430,jhin is fucking cancer],1,0,1,0,0,0
8523,shieldbow is fucking broken,1,0,1,0,0,0
8574,BabyRage This one is ass mr sneaky,1,0,0,0,0,0
8689,Toplane is so fucking doomed,1,0,1,0,1,0
8800,fuck,1,0,1,0,1,0
9018,That was almost 11/10 clean as fuck,1,0,1,0,0,0
9139,holy shit,1,0,0,0,0,0
9439,Fuck off RIOT GAMES,1,0,1,0,0,0
9453,o shit,1,0,1,0,0,0
9460,hholy shit fiora is broken,1,0,0,0,0,0
9502,bitch EZ,1,0,1,0,1,0
9521,bork is shit now,1,0,1,0,0,0
9586,Doesn't ruunan fuck with w targeting?,1,0,1,0,0,0
9792,no shit chat,1,0,0,0,0,0
9797,The fuck was that Fiora thinking? Diving base against 4 people and typing wtf in all chat so dumb,1,0,0,0,0,0
9827,that bitch,1,0,1,0,1,0
10076,RAGEBLADE FUCK YOUR CRIT,1,0,1,0,1,0
10111,Eclipse senna kind of fucking nasty FeelsOkayMan @sneakylol,1,0,1,0,0,0
10122,@wfsdfsfdsfsdfvdsf Rageblade is shit on senna,1,0,1,0,0,0
10480,@Thebausffs tits or ass,1,0,1,0,0,0
10738,Hell no,1,0,0,0,0,0
10817,man you make my days so fucking much ...,1,0,1,0,0,0
